Washington,53
Illinois,17
California,06
Arizona,04
Massachusetts,25
Wisconsin,55
Texas,48
Nebraska,31
Utah,49
Oregon,41
Florida,12
New York,36
Rhode Island,44
Georgia,13
New Hampshire,33
North Carolina,37
New Jersey,34
Colorado,08
Maryland,24
Nevada,32
Tennessee,47
Hawaii,15
Indiana,18
Kentucky,21
Minnesota,27
Oklahoma,40
Pennsylvania,42
South Carolina,45
District of Columbia,11
Kansas,20
Missouri,29
Vermont,50
Virginia,51
Connecticut,09
Iowa,19
Louisiana,22
Ohio,39
Michigan,26
South Dakota,46
Arkansas,05
Delaware,10
Mississippi,28
New Mexico,35
North Dakota,38
Wyoming,56
Alaska,02
Maine,23
Alabama,01
Idaho,16
Montana,30
West Virginia,54
